,Sentence,Sentiment
0,"the geosolutions technology will leverage benefon 's gps solutions by providing location based search technology , a communities platform , location relevant multimedia content and a new and powerful commercial model .",positive
1,"$esi on lows, down $1.50 to $2.50 bk a real possibility",negative
2,"for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .",positive
3,"according to the finnish-russian chamber of commerce , all the major construction companies of finland are operating in russia .",neutral
4,"the swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in finland .",neutral
5,$spy wouldn't be surprised to see a green close,positive
6,shell's $70 billion bg deal meets shareholder skepticism,negative
7,"ssh communications security corp stock exchange release october 14 , 2008 at 2:45 pm the company updates its full year outlook and estimates its results to remain at loss for the full year .",negative
8,kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive
9,"the stockmann department store will have a total floor space of over 8,000 square metres and stockmann 's investment in the project will have a price tag of about eur 12 million .",neutral
10,circulation revenue has increased by 5 % in finland and 4 % in sweden in 2008 .,positive
11,$sap q1 disappoints as #software licenses down. real problem? #cloud growth trails $msft $orcl $goog $crm $adbe https://t.co/jndphllzq5,negative
12,"the subdivision made sales revenues last year of eur 480.7 million eur 414.9 million in 2008 , and operating profits of eur 44.5 million eur 7.4 million .",positive
13,viking line has canceled some services .,neutral
14,"ahlstrom corporation stock exchange announcement 7.2.2007 at 10.30 a total of 56,955 new shares of ahlstrom corporation have been subscribed with option rights under the company 's stock option programs i 2001 and ii 2001 .",neutral
15,$fb gone green on day,positive
16,$msft sql server revenue grew double-digit with sql server premium revenue growing over 30% http://stks.co/ir2f,positive
17,"according to l+ñnnen tehtaat 's ceo matti karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral
18,the company 's share is quoted on nasdaq omx helsinki rautaruukki oyj : rtrks .,neutral
19,elcoteq se is listed on the nasdaq omx helsinki ltd. .,neutral
20,two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer .,neutral
21,"aviva, friends life top forecasts ahead of 5.6 billion pound merger",positive
22,"in stead of being based on a soft drink , as is usual , the teho energy drink is made with fresh water .",neutral
23,the company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral
24,the company closed last year with a turnover of about four million euros .,neutral
25,shire ceo steps up drive to get baxalta board talking,positive
26,costco: a premier retail dividend play https://t.co/fa5cnh2t0t $cost,positive
27,"the five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. it will also include apartments .",neutral
28,"the first installment of the cinema series concludes with a profile of finnish inventor olavi linden , whose personal artistic journey and work at fiskars has led to dozens of design awards .",neutral
29,all are welcome .,neutral
30,"stockmann and swedish sector company ab lindex entered into an agreement on september 30 , 2007 , whereby stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of lindex 's issued shares .",positive
31,"huhtamaki oyj stock exchange release , 16.9.2008 at 13.32 huhtamaki 's capital markets day for institutional investors and analysts is held in espoo , september 16 , 2008 starting at 13.30 pm finnish time .",neutral
32,`` we are pleased to welcome tapeks noma into cramo group .,positive
33,- profit before taxes was eur 105.9 82.7 million .,neutral
34,royal dutch shell to buy bg group for nearly $70 billion,positive
35,"financialwire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral
36,assa abloy kaupthing bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on swedish lock maker assa abloy ab .,neutral
37,"the item included restructuring costs of eur1 .6 m , while a year earlier they were eur13 .1 m. diluted eps stood at eur0 .3 versus a loss per share of eur 0.1 .",positive
38,in 2005 the bank posted a net profit of lt 8.2 mn .,neutral
39,$aapl afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative
40,$tsla recalling pretty much every single model x @cnnbrk got to short that even at work you jump in money trade,negative
41,"dolce & gabbana has asked the european union to declare marimekko corporation 's `` unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative
42,intercontinental hotels first-quarter global room revenue lags estimates,negative
43,"according to finnish pension insurance company varma , varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in finland .",positive
44,"a portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj .",positive
45,"l&g still paying price for dividend cut during crisis, chief says",negative
46,the volume of investments in the two phases of the project is estimated at usd 300mn ( eur 215.03 mn ) .,neutral
47,"russia accounted for 9 % of the lagardere magazine division 's revenue , or eur 114.40 mn ( usd 148.11 mn ) in 2009 , the usa - for 18 % .",neutral
48,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,positive
49,profit of the accounting period was eur 0.3 mn .,neutral
50,"the six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive
51,"in august-october 2010 , the company 's result before taxes totalled eur 9.6 mn , up from eur 0.5 mn in the corresponding period in 2009 .",positive
52,"systeemitiimi 's sales and project resources will also be strengthened , director paul skogberg said .",positive
53,tesco share price jumps as q3 sales top estimates,positive
54,the fine print is here .,neutral
55,the price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive
56,"thus , sysopen digia has , in accordance with chapter 14 section 21 of the finnish companies act 29.9.1978 - 734 , obtained title to all the shares of sentera that are to be redeemed .",neutral
57,diluted earnings per share ( eps ) fell to eur 0.63 from eur 1.71 .,neutral
58,"at 3:37 p.m. eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral
59,"some of the most recent technology deliveries include refinery technology to anrak aluminium , an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel .",neutral
60,$vips similar pattern like beginning of may. did u sell? same now..will go up much higher after this drop.,positive
61,the firm generated sales of 187 mln eur in 2005 .,neutral
62,"stora enso has also had meetings with the labor authorities , employment and economic development centres and representatives of the government in order to find solutions .",neutral
63,astrazeneca profit down as sales of stalwarts fade,negative
64,"rt @andrewnyquist chartology: yahoo: http://stks.co/1itr $yhoo  crazy looking chart, but nearing breakout resistance line...",positive
65,most bullish stocks on twitter during this dip. $yhoo $gdx $googl $stz $gold $ew $vz $celg $sbux $scty more: https://t.co/iuzjelfwt3,positive
66,"finnish geosentric 's net sales decreased to eur 939,000 in january-march 2009 .",negative
67,"cohen & steers , inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral
68,more staff has been recruited in japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive
69,"paper companies were in negative territories , with stora enso r shedding 1.62 pct to 12.73 eur , upm-kymmene down 0.80 pct at 18.64 eur and m-real b 0.18 pct lower at 5.57 eur .",neutral
70,kauko-telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year .,neutral
71,operating profit for the quarter april-june 2006 amounted to eur182 .2 m on sales of eur3 .62 bn .,neutral
72,atria chose the delight to attract consumers in the 25-45 age group to its atria fresh range of microwaveable meals .,neutral
